community_id,tool_id,date_id,tool_score,rank
1,1229,4,18,
1,1230,4,15,
1,1231,4,0,
1,1232,4,9,
1,1233,4,3,
1,1234,4,0,
1,1235,4,1,
1,1236,4,0,
1,1237,4,0,
1,1238,4,22,
1,1239,4,1,
1,1240,4,4,
1,1241,4,0,
1,1242,4,0,
1,1243,4,0,
1,1244,4,0,
1,1245,4,31,
1,1246,4,1,
1,1247,4,0,
1,1248,4,9,
1,1249,4,0,
1,1250,4,0,
1,1251,4,0,
1,1252,4,0,
1,1253,4,0,
1,1254,4,3,
1,1255,4,0,
1,1256,4,0,
1,1257,4,1,
1,1258,4,1.9999999999999998,
1,1259,4,0,
1,1260,4,1,
1,1261,4,0,
1,1262,4,0,
1,1263,4,3,
1,1264,4,30,
1,1265,4,0,
1,1266,4,0,
1,1267,4,0,
1,1268,4,0,
1,1269,4,0,
1,1270,4,0,
1,1271,4,0,
1,1272,4,19,
1,1273,4,4,
1,1274,4,2,
1,1275,4,0,
1,1276,4,1,
1,1277,4,0.9999999999999999,
1,1278,4,28,
1,1279,4,0,
1,1280,4,0,
1,1281,4,0,
1,1282,4,0,
1,1283,4,2,
1,1284,4,32,
1,1285,4,1,
1,1286,4,2,
1,1287,4,0,
1,1288,4,22,
1,1289,4,1,
1,1290,4,5,
1,1291,4,0,
1,1292,4,0,
1,1293,4,6,
1,1294,4,0,
1,1295,4,0,
1,1296,4,30,
1,1297,4,0,
1,1298,4,0,
1,1299,4,0,
1,1300,4,12,
1,1301,4,0,
1,1302,4,23,
1,1303,4,0,
1,1304,4,5,
1,1305,4,0,
1,1306,4,0,
1,1307,4,0,
1,1308,4,0,
1,1309,4,2,
1,1310,4,0,
1,1311,4,5,
1,1312,4,28,
1,1313,4,27,
1,1314,4,0,
1,1315,4,17,
1,1316,4,0,
1,1317,4,29,
1,1318,4,0,
1,1319,4,0,
1,1320,4,5,
1,1321,4,0,
1,1322,4,0,
1,1323,4,0,
1,1324,4,0,
1,1325,4,0,
1,1326,4,0,
1,1327,4,0,
1,1328,4,0,
1,1329,4,0,
1,1330,4,0,
1,1331,4,0,
1,1332,4,0,
1,1333,4,0,
1,1334,4,23,
1,1335,4,0,
1,1336,4,1,
1,1337,4,0,
1,1338,4,0,
1,1339,4,0,
1,1340,4,0,
1,1341,4,35,
1,1342,4,0,
1,1343,4,0,
1,1344,4,0,
1,1345,4,0,
1,1346,4,0,
1,1347,4,0,
1,1348,4,9,
1,1349,4,0,
1,1350,4,0,
1,1351,4,6,
1,1352,4,0,
1,1353,4,4,
1,1354,4,2,
1,1355,4,0,
1,1356,4,7,
1,1357,4,20,
1,1358,4,0,
1,1359,4,0,
1,1360,4,15,
1,1361,4,0,
1,1362,4,0,
1,1363,4,3,
1,1364,4,0,
1,1365,4,0,
1,1366,4,0,
1,1367,4,0,
1,1368,4,0,
1,1369,4,14,
1,1370,4,1,
1,1371,4,0,
1,1372,4,0,
1,1373,4,36,
1,1374,4,10,
1,1375,4,0,
1,1376,4,0,
1,1377,4,0,
1,1378,4,0,
1,1379,4,0,
1,1380,4,0,
1,1381,4,0,
1,1382,4,0,
1,1383,4,25,
1,1384,4,1,
1,1385,4,7,
