company_id,name,employee_amount,type,amount_of_searches
2642,facebook,,,
2643,vuejs,,,
2644,thedaviddias,,,
2645,vitejs,,,
2646,ionic-team,,,
2647,dypsilon,,,
2648,LeCoupa,,,
2649,xitu,,,
2650,StanGirard,,,
2651,ascoders,,,
2652,GitHubDaily,,,
2653,expo,,,
2654,haizlin,,,
2655,iview,,,
2656,vueComponent,,,
2657,NaiboWang,,,
2658,mouredev,,,
2659,nhn,,,
2660,thedaviddias,,,
2661,baidu,,,
2662,tiangolo,,,
2663,marko-js,,,
2664,mdbootstrap,,,
2665,tachyons-css,,,
2666,nhn,,,
2667,cs01,,,
2668,mdbootstrap,,,
2669,helloqingfeng,,,
2670,marmelab,,,
2671,moklick,,,
2672,NG-ZORRO,,,
2673,Stability-AI,,,
2674,bencodezen,,,
2675,phodal,,,
2676,Tencent,,,
2677,CorentinTh,,,
2678,andrew--r,,,
2679,marionettejs,,,
2680,HospitalRun,,,
2681,zeroclipboard,,,
2682,lgwebdream,,,
2683,goodjack,,,
2684,zauberzeug,,,
2685,BuilderIO,,,
2686,imba,,,
2687,mendel5,,,
2688,papercups-io,,,
2689,FrontEndGitHub,,,
2690,NervJS,,,
2691,rails,,,
2692,tnfe,,,
2693,TeamAmaze,,,
2694,thedaviddias,,,
2695,liyupi,,,
2696,reagent-project,,,
2697,baidu,,,
2698,webhooksite,,,
2699,RitikPatni,,,
2700,goq,,,
2701,frontendbr,,,
2702,FrontendMasters,,,
2703,sadanandpai,,,
2704,sadanandpai,,,
2705,imcuttle,,,
2706,bansal,,,
2707,liyupi,,,
2708,wmonk,,,
2709,WeMakeDevs,,,
2710,plasmicapp,,,
2711,markusschanta,,,
2712,FortAwesome,,,
2713,hepengwei,,,
2714,alienzhou,,,
2715,home-assistant,,,
2716,GoogleChromeLabs,,,
2717,eludadev,,,
2718,twbs,,,
2719,idiotWu,,,
2720,KingSora,,,
2721,think2011,,,
2722,cheatsheet1999,,,
2723,redux-orm,,,
2724,Chalarangelo,,,
2725,sl1673495,,,
2726,hop-protocol,,,
2727,azl397985856,,,
2728,liyupi,,,
2729,arthurspk,,,
2730,hexops,,,
2731,neomjs,,,
2732,pod4g,,,
