company_id,date_id,year,quarter,benefit
1722,7,2024,1,4.82
1723,7,2024,1,
1724,7,2024,1,
1725,7,2024,1,
1726,7,2024,1,
1727,7,2024,1,
1728,7,2024,1,
1729,7,2024,1,
1730,7,2024,1,
1731,7,2024,1,
1732,7,2024,1,
1733,7,2024,1,2.2
1734,7,2024,1,
1735,7,2024,1,
1736,7,2024,1,
1737,7,2024,1,
1738,7,2024,1,
1739,7,2024,1,
1740,7,2024,1,
1741,7,2024,1,
1742,7,2024,1,
1743,7,2024,1,
1744,7,2024,1,
1745,7,2024,1,
1746,7,2024,1,
1747,7,2024,1,
1748,7,2024,1,
1749,7,2024,1,
1750,7,2024,1,
1751,7,2024,1,
1752,7,2024,1,
1753,7,2024,1,
1754,7,2024,1,
1755,7,2024,1,
1756,7,2024,1,1
1757,7,2024,1,
1758,7,2024,1,
1759,7,2024,1,
1760,7,2024,1,
1761,7,2024,1,
1762,7,2024,1,
1763,7,2024,1,
1764,7,2024,1,
1765,7,2024,1,
1766,7,2024,1,0.043
1767,7,2024,1,
1768,7,2024,1,
1769,7,2024,1,
1770,7,2024,1,
1771,7,2024,1,0.1
1772,7,2024,1,
1773,7,2024,1,
1774,7,2024,1,
1775,7,2024,1,
1776,7,2024,1,
1777,7,2024,1,
1778,7,2024,1,
1779,7,2024,1,
1780,7,2024,1,
1781,7,2024,1,
1782,7,2024,1,
1783,7,2024,1,
1784,7,2024,1,
1785,7,2024,1,
1786,7,2024,1,0.33
1787,7,2024,1,
1788,7,2024,1,
1789,7,2024,1,
1790,7,2024,1,
1791,7,2024,1,
1792,7,2024,1,
1793,7,2024,1,
1794,7,2024,1,
1795,7,2024,1,
1796,7,2024,1,
1797,7,2024,1,
1798,7,2024,1,
1799,7,2024,1,
1800,7,2024,1,
1801,7,2024,1,
1802,7,2024,1,
1803,7,2024,1,
1804,7,2024,1,
1805,7,2024,1,
1806,7,2024,1,
1807,7,2024,1,
1808,7,2024,1,
1809,7,2024,1,
1810,7,2024,1,
1811,7,2024,1,
1812,7,2024,1,
1813,7,2024,1,
1814,7,2024,1,
1815,7,2024,1,
1816,7,2024,1,
1817,7,2024,1,
1818,7,2024,1,
1819,7,2024,1,
1820,7,2024,1,
1821,7,2024,1,
1822,7,2024,1,
1823,7,2024,1,
1824,7,2024,1,
1825,7,2024,1,
1826,7,2024,1,
1827,7,2024,1,
1828,7,2024,1,
1829,7,2024,1,
1830,7,2024,1,
1831,7,2024,1,
1832,7,2024,1,
1833,7,2024,1,
1834,7,2024,1,
1835,7,2024,1,
1836,7,2024,1,
1837,7,2024,1,
1838,7,2024,1,
1839,7,2024,1,
1840,7,2024,1,
1841,7,2024,1,
1842,7,2024,1,0.11
1843,7,2024,1,
1844,7,2024,1,
1845,7,2024,1,
1846,7,2024,1,
1847,7,2024,1,
1848,7,2024,1,
1849,7,2024,1,
1850,7,2024,1,
1851,7,2024,1,
1852,7,2024,1,
1853,7,2024,1,
1854,7,2024,1,
1855,7,2024,1,
1856,7,2024,1,
1857,7,2024,1,
1858,7,2024,1,
1859,7,2024,1,
1860,7,2024,1,
1861,7,2024,1,
1862,7,2024,1,
1863,7,2024,1,
1864,7,2024,1,
1865,7,2024,1,
1866,7,2024,1,
1867,7,2024,1,
1868,7,2024,1,
1869,7,2024,1,
1870,7,2024,1,
1871,7,2024,1,
1872,7,2024,1,
1873,7,2024,1,
1874,7,2024,1,
1875,7,2024,1,
1876,7,2024,1,
1877,7,2024,1,
1878,7,2024,1,
1879,7,2024,1,
1880,7,2024,1,
1881,7,2024,1,
1882,7,2024,1,
1883,7,2024,1,
1884,7,2024,1,
1885,7,2024,1,
1886,7,2024,1,
1887,7,2024,1,
1888,7,2024,1,
1889,7,2024,1,
1890,7,2024,1,
1891,7,2024,1,
1892,7,2024,1,
1893,7,2024,1,
1894,7,2024,1,
1895,7,2024,1,
1896,7,2024,1,0.12
1897,7,2024,1,
1898,7,2024,1,
1899,7,2024,1,
1900,7,2024,1,
1901,7,2024,1,
1902,7,2024,1,
1903,7,2024,1,
1904,7,2024,1,
1905,7,2024,1,
1906,7,2024,1,
1907,7,2024,1,
1908,7,2024,1,
1909,7,2024,1,
1910,7,2024,1,
1911,7,2024,1,
1912,7,2024,1,
1913,7,2024,1,
1914,7,2024,1,
1915,7,2024,1,
1916,7,2024,1,
1917,7,2024,1,
1918,7,2024,1,
1919,7,2024,1,
1920,7,2024,1,
1921,7,2024,1,
1922,7,2024,1,
1923,7,2024,1,0.08
1924,7,2024,1,
1925,7,2024,1,0.03
1926,7,2024,1,
1927,7,2024,1,
1928,7,2024,1,
1929,7,2024,1,
1930,7,2024,1,
1931,7,2024,1,
1932,7,2024,1,
1933,7,2024,1,
1934,7,2024,1,
1935,7,2024,1,
1936,7,2024,1,
1937,7,2024,1,
1938,7,2024,1,
1939,7,2024,1,
1940,7,2024,1,
1941,7,2024,1,
1942,7,2024,1,
1943,7,2024,1,
1944,7,2024,1,
1945,7,2024,1,
1946,7,2024,1,
1947,7,2024,1,0.08
1948,7,2024,1,
1949,7,2024,1,
1950,7,2024,1,
1951,7,2024,1,
1952,7,2024,1,
1953,7,2024,1,
1954,7,2024,1,
1955,7,2024,1,
1956,7,2024,1,
1957,7,2024,1,
1958,7,2024,1,
1959,7,2024,1,
1960,7,2024,1,
1961,7,2024,1,
1962,7,2024,1,
1963,7,2024,1,
1964,7,2024,1,
1965,7,2024,1,
1966,7,2024,1,
1967,7,2024,1,
1968,7,2024,1,
1969,7,2024,1,
1970,7,2024,1,
1971,7,2024,1,
1972,7,2024,1,
1973,7,2024,1,
1974,7,2024,1,
1975,7,2024,1,
1976,7,2024,1,
1977,7,2024,1,
1978,7,2024,1,
1979,7,2024,1,
1980,7,2024,1,
1981,7,2024,1,
1982,7,2024,1,
1983,7,2024,1,
1984,7,2024,1,
1985,7,2024,1,
1986,7,2024,1,
1987,7,2024,1,
1988,7,2024,1,0.08
1989,7,2024,1,
1990,7,2024,1,
1991,7,2024,1,
1992,7,2024,1,
1993,7,2024,1,
1994,7,2024,1,
1995,7,2024,1,
1996,7,2024,1,
1997,7,2024,1,
1998,7,2024,1,
1999,7,2024,1,
2000,7,2024,1,
2001,7,2024,1,
2002,7,2024,1,
2003,7,2024,1,
2004,7,2024,1,
2005,7,2024,1,
2006,7,2024,1,
2007,7,2024,1,
2008,7,2024,1,
2009,7,2024,1,
2010,7,2024,1,
2011,7,2024,1,
2012,7,2024,1,
2013,7,2024,1,
2014,7,2024,1,
2015,7,2024,1,
2016,7,2024,1,
2017,7,2024,1,
2018,7,2024,1,
2019,7,2024,1,
2020,7,2024,1,
2021,7,2024,1,
2022,7,2024,1,
2023,7,2024,1,
2024,7,2024,1,
2025,7,2024,1,
2026,7,2024,1,
2027,7,2024,1,
2028,7,2024,1,
2029,7,2024,1,
2030,7,2024,1,
2031,7,2024,1,
2032,7,2024,1,
2033,7,2024,1,
2034,7,2024,1,
2035,7,2024,1,
2036,7,2024,1,
2037,7,2024,1,
2038,7,2024,1,
2039,7,2024,1,
2040,7,2024,1,
2041,7,2024,1,
2042,7,2024,1,
2043,7,2024,1,
2044,7,2024,1,
2045,7,2024,1,
2046,7,2024,1,
2047,7,2024,1,
2048,7,2024,1,
2049,7,2024,1,
2050,7,2024,1,
2051,7,2024,1,
2052,7,2024,1,
2053,7,2024,1,
2054,7,2024,1,
2055,7,2024,1,
2056,7,2024,1,
2057,7,2024,1,
2058,7,2024,1,
2059,7,2024,1,
2060,7,2024,1,
2061,7,2024,1,
2062,7,2024,1,
2063,7,2024,1,
2064,7,2024,1,
2065,7,2024,1,
2066,7,2024,1,
2067,7,2024,1,
2068,7,2024,1,
2069,7,2024,1,
2070,7,2024,1,
2071,7,2024,1,
2072,7,2024,1,
2073,7,2024,1,
2074,7,2024,1,
2075,7,2024,1,
2076,7,2024,1,
2077,7,2024,1,
2078,7,2024,1,
2079,7,2024,1,
2080,7,2024,1,
2081,7,2024,1,
2082,7,2024,1,
2083,7,2024,1,
2084,7,2024,1,
2085,7,2024,1,
2086,7,2024,1,
2087,7,2024,1,
2088,7,2024,1,0.09
2089,7,2024,1,
2090,7,2024,1,
2091,7,2024,1,
2092,7,2024,1,
2093,7,2024,1,
2094,7,2024,1,
2095,7,2024,1,
2096,7,2024,1,
2097,7,2024,1,
2098,7,2024,1,
2099,7,2024,1,
2100,7,2024,1,
2101,7,2024,1,
2102,7,2024,1,
2103,7,2024,1,0.08
2104,7,2024,1,
2105,7,2024,1,
2106,7,2024,1,
2107,7,2024,1,
2108,7,2024,1,
2109,7,2024,1,
2110,7,2024,1,
2111,7,2024,1,
2112,7,2024,1,
2113,7,2024,1,
2114,7,2024,1,
2115,7,2024,1,
2116,7,2024,1,
2117,7,2024,1,
2118,7,2024,1,
2119,7,2024,1,
2120,7,2024,1,
2121,7,2024,1,
2122,7,2024,1,
2123,7,2024,1,
2124,7,2024,1,
2125,7,2024,1,
